"Longitude","Latitude","bio1","bio12"
-96.505,16.061389,191,1249
-96.500833,16.169444,175,1029
-96.57,16.317222,175,1029
-92.63844,16.628834,185,1309
-98.895833,17.0175,231,1958
-96.781944,17.051667,191,715
-96.289167,17.168056,175,1432
-99.37,17.2225,247,1467
-91.099722,17.266667,256,2066
-99.447778,17.345833,221,1158
-96.64,17.447778,156,1139
-96.9175,17.503056,195,683
-99.664167,17.520278,205,1127
-99.675,17.525,198,1269
-99.725,17.541667,198,1269
-99.691667,17.541667,198,1269
-99.691667,17.558333,198,1269
-99.675,17.558333,198,1269
-96.351111,17.603611,167,2024
-97.141667,17.641667,162,696
-96.313333,17.666111,213,2963
-97.323611,17.723611,148,728
-97.323611,17.723889,148,728
-96.875,17.741667,207,785
-96.880556,17.844444,203,1137
-97.308333,17.941667,154,700
-96.127778,18.081667,253,2261
-97.425278,18.1875,176,511
-97.658333,18.208333,173,533
-96.992778,18.284722,167,2119
-97.735833,18.388333,172,565
-97.378056,18.443611,186,483
-97.608333,18.458333,161,513
-95.289444,18.511944,228,2754
-96.958611,18.513333,206,2520
-99.555028,18.524556,209,1147
-99.580833,18.531111,209,1147
-99.510222,18.575111,209,1147
-99.606111,18.586944,209,1147
-97.408333,18.591667,162,528
-97.414167,18.594167,162,528
-97.410556,18.62,162,528
-99.557333,18.637,209,1147
-99.796389,18.666667,181,1228
-99.766389,18.733056,195,1237
-98.799167,18.781667,215,936
-98.9075,18.790556,232,884
-97.100833,18.815,171,1598
-96.856389,18.8275,208,2485
-99.059722,18.849444,216,950
-96.891667,18.849444,206,2127
-98.929444,18.870556,205,964
-98.716389,18.883056,163,1165
-96.997778,18.896944,206,2127
-99.221389,18.899167,205,996
-99.0575,18.899444,216,950
-97.001667,18.9,186,1857
-99.2342,18.9186,205,996
-99.614444,18.921944,178,1129
-98.986667,18.940278,205,964
-99.095833,18.943889,216,950
-98.98111,18.95556,205,964
-99.1,18.983333,216,950
-99.953889,19.043889,133,1217
-103.5875,19.061389,248,928
-97.046944,19.070556,163,1786
-98.143611,19.0775,152,913
-97.506111,19.156111,149,608
-100.289444,19.17,179,990
-99.095833,19.255833,149,829
-99.159722,19.271944,149,829
-99.166111,19.277222,149,829
-99.298056,19.299722,119,1131
-99.213056,19.310556,119,1131
-99.133333,19.316667,149,829
-101.881667,19.32,253,947
-102.093333,19.325,231,1095
-102.363056,19.3375,161,1213
-97.113611,19.340833,149,1721
-97.143889,19.351944,149,1721
-96.874444,19.356667,198,1605
-99.159722,19.367778,158,626
-96.932778,19.367778,198,1605
-102.236389,19.379167,133,1240
-102.056389,19.401667,171,1375
-99.1775,19.405,151,904
-99.200483,19.415696,151,904
-99.183933,19.422913,151,904
-102.041667,19.433056,171,1375
-99.133056,19.433056,158,626
-96.956667,19.453056,198,1605
-100.476389,19.472222,184,913
-98.801667,19.481944,107,854
-100.046667,19.512222,128,936
-102.099722,19.516389,143,1177
-96.9275,19.54,181,1621
-97,19.559722,121,1336
-103.742778,19.565833,195,755
-102.474722,19.588056,177,1176
-101.557222,19.603611,160,1004
-96.836944,19.627222,181,1621
-100.738056,19.640556,148,1237
-97.143056,19.6625,121,1336
-98.846944,19.683889,149,624
-98.529444,19.753611,137,599
-102.464722,19.843333,168,954
-97.583333,19.883056,170,2092
-99.347222,19.921111,154,770
-100.692778,20.031111,178,755
-101.759167,20.153056,190,816
-98.045278,20.165,144,1319
-100.138056,20.179167,156,753
-96.868056,20.188056,252,1415
-98.003333,20.200278,176,2142
-97.25,20.216667,241,1394
-97.851944,20.225278,199,2587
-97.8175,20.238611,222,2599
-97.883056,20.25,199,2587
-98.9075,20.255833,154,636
-103.185833,20.278611,190,790
-103.568333,20.403333,195,799
-97.310556,20.429167,241,1255
-99.301389,20.526944,168,524
-103.118333,20.587778,194,879
-98.628889,20.619722,151,1199
-103.301389,20.638889,198,900
-98.968056,20.646667,169,592
-88.566667,20.671944,258,1210
-99.365278,20.707222,182,546
-103.409722,20.71,193,954
-99.94,20.73889,174,517
-98.696389,20.753611,160,1171
-99.19,21.005,209,960
-99.1325,21.024722,199,1301
-99.111944,21.025833,199,1301
-99.763056,21.1,190,580
-99.741667,21.108333,190,580
-99.608333,21.141667,189,736
-98.867222,21.148889,218,1615
-99.141667,21.225,201,1608
-99.541667,21.241667,202,769
-99.008333,21.291667,201,1608
-98.950556,21.376389,241,2087
-102.315556,21.911944,178,503
-99.023889,22.150833,241,1344
-99.136389,23.088889,250,1202
-104.06139,23.59111,159,524
-99.943056,24.099167,175,573
-100.223056,24.390556,172,366
-100.231389,24.873611,132,599
-100.033056,25.243056,195,816
-100.301667,25.603611,201,668
-100.299722,25.637222,201,668
-105.744167,25.836944,148,574
-111.063056,27.996667,246,192
